DATAFLOW,LAST UPDATE,freq,aquaenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2011,0,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2012,0,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2013,73,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2014,73,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2015,78,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2016,92,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2017,102,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2018,102,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2019,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2020,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2021,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2022,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2011,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2012,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2013,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2014,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2015,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2016,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2017,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2018,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2019,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2020,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2021,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2022,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2011,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2012,42,
